HNode,LNode,Time,Makespan,SOC,SOL
HNode: 56, LNode: 241, solved: 1ms, makespan: 54, sum_of_costs: 1079, sum_of_loss: 1003
HNode: 78, LNode: 383, solved: 1ms, makespan: 73, sum_of_costs: 1446, sum_of_loss: 1375
HNode: 56, LNode: 254, solved: 1ms, makespan: 55, sum_of_costs: 1329, sum_of_loss: 1164
HNode: 58, LNode: 263, solved: 1ms, makespan: 57, sum_of_costs: 1290, sum_of_loss: 1243
HNode: 49, LNode: 232, solved: 1ms, makespan: 47, sum_of_costs: 1254, sum_of_loss: 1217
HNode: 57, LNode: 271, solved: 1ms, makespan: 54, sum_of_costs: 1339, sum_of_loss: 1253
HNode: 46, LNode: 192, solved: 1ms, makespan: 45, sum_of_costs: 1376, sum_of_loss: 1215
HNode: 47, LNode: 202, solved: 1ms, makespan: 45, sum_of_costs: 1212, sum_of_loss: 1140
HNode: 60, LNode: 267, solved: 1ms, makespan: 58, sum_of_costs: 1488, sum_of_loss: 1265
HNode: 104, LNode: 521, solved: 2ms, makespan: 98, sum_of_costs: 1943, sum_of_loss: 1618
HNode: 52, LNode: 229, solved: 1ms, makespan: 51, sum_of_costs: 1105, sum_of_loss: 1058
HNode: 45, LNode: 199, solved: 1ms, makespan: 44, sum_of_costs: 1187, sum_of_loss: 1046
HNode: 76, LNode: 343, solved: 1ms, makespan: 74, sum_of_costs: 1365, sum_of_loss: 1260
HNode: 59, LNode: 278, solved: 1ms, makespan: 57, sum_of_costs: 1263, sum_of_loss: 1070
HNode: 59, LNode: 270, solved: 1ms, makespan: 57, sum_of_costs: 1355, sum_of_loss: 1224
HNode: 67, LNode: 316, solved: 2ms, makespan: 65, sum_of_costs: 1304, sum_of_loss: 1154
HNode: 39, LNode: 172, solved: 1ms, makespan: 38, sum_of_costs: 1161, sum_of_loss: 1086
HNode: 57, LNode: 269, solved: 1ms, makespan: 55, sum_of_costs: 1345, sum_of_loss: 1130
HNode: 61, LNode: 281, solved: 1ms, makespan: 60, sum_of_costs: 1205, sum_of_loss: 1126
HNode: 42, LNode: 183, solved: 1ms, makespan: 41, sum_of_costs: 1207, sum_of_loss: 1138
HNode: 67, LNode: 305, solved: 1ms, makespan: 64, sum_of_costs: 1401, sum_of_loss: 1298
HNode: 52, LNode: 230, solved: 1ms, makespan: 51, sum_of_costs: 1141, sum_of_loss: 1040
HNode: 62, LNode: 285, solved: 1ms, makespan: 57, sum_of_costs: 1376, sum_of_loss: 1246
HNode: 45, LNode: 195, solved: 1ms, makespan: 44, sum_of_costs: 1148, sum_of_loss: 1123
HNode: 61, LNode: 286, solved: 1ms, makespan: 59, sum_of_costs: 1366, sum_of_loss: 1144
HNode: 66, LNode: 310, solved: 1ms, makespan: 64, sum_of_costs: 1700, sum_of_loss: 1399
HNode: 45, LNode: 226, solved: 1ms, makespan: 40, sum_of_costs: 1175, sum_of_loss: 1053
HNode: 56, LNode: 240, solved: 1ms, makespan: 55, sum_of_costs: 1342, sum_of_loss: 1217
HNode: 36, LNode: 154, solved: 1ms, makespan: 35, sum_of_costs: 1113, sum_of_loss: 1038
HNode: 49, LNode: 200, solved: 1ms, makespan: 48, sum_of_costs: 1259, sum_of_loss: 1158
HNode: 46, LNode: 201, solved: 1ms, makespan: 45, sum_of_costs: 1323, sum_of_loss: 1171
HNode: 86, LNode: 388, solved: 1ms, makespan: 82, sum_of_costs: 1359, sum_of_loss: 1231
HNode: 44, LNode: 198, solved: 1ms, makespan: 43, sum_of_costs: 1255, sum_of_loss: 1157
HNode: 52, LNode: 238, solved: 1ms, makespan: 51, sum_of_costs: 1509, sum_of_loss: 1334
HNode: 92, LNode: 429, solved: 1ms, makespan: 86, sum_of_costs: 1611, sum_of_loss: 1316
HNode: 49, LNode: 227, solved: 1ms, makespan: 48, sum_of_costs: 1167, sum_of_loss: 1089
HNode: 52, LNode: 236, solved: 1ms, makespan: 50, sum_of_costs: 1346, sum_of_loss: 1235
HNode: 51, LNode: 224, solved: 1ms, makespan: 50, sum_of_costs: 1264, sum_of_loss: 1168
HNode: 83, LNode: 348, solved: 1ms, makespan: 82, sum_of_costs: 1650, sum_of_loss: 1302
HNode: 50, LNode: 223, solved: 1ms, makespan: 49, sum_of_costs: 1437, sum_of_loss: 1307
HNode: 55, LNode: 245, solved: 1ms, makespan: 54, sum_of_costs: 1233, sum_of_loss: 1090
HNode: 74, LNode: 335, solved: 1ms, makespan: 72, sum_of_costs: 1572, sum_of_loss: 1345
HNode: 45, LNode: 203, solved: 1ms, makespan: 44, sum_of_costs: 1084, sum_of_loss: 1036
HNode: 73, LNode: 304, solved: 1ms, makespan: 71, sum_of_costs: 1753, sum_of_loss: 1556
HNode: 77, LNode: 447, solved: 1ms, makespan: 59, sum_of_costs: 1507, sum_of_loss: 1374
HNode: 42, LNode: 186, solved: 1ms, makespan: 41, sum_of_costs: 1210, sum_of_loss: 1081
HNode: 47, LNode: 209, solved: 1ms, makespan: 46, sum_of_costs: 1381, sum_of_loss: 1210
HNode: 48, LNode: 219, solved: 1ms, makespan: 47, sum_of_costs: 1187, sum_of_loss: 1134
HNode: 60, LNode: 267, solved: 1ms, makespan: 59, sum_of_costs: 1349, sum_of_loss: 1219
